python main.py
$ python main.py
--- Running on DEVICE: cuda ---

======================================
 FOLD 1/8: Testing on Subject 1
======================================
Epoch 39 | Train Acc: 0.9969 | Test Acc: 0.8667 | Test F1: 0.8439                                                                                                              
Epoch 40 | Train Acc: 0.9957 | Test Acc: 0.8570 | Test F1: 0.8498                                                                                                              
-> Best for Subject 3: Acc = 0.8921, F1 = 0.8829

======================================
 FOLD 4/8: Testing on Subject 4
======================================
Epoch 01 | Train Acc: 0.5545 | Test Acc: 0.6781 | Test F1: 0.6240                                                                                                              
Epoch 02 | Train Acc: 0.8612 | Test Acc: 0.7737 | Test F1: 0.7277                                                                                                              
Epoch 03 | Train Acc: 0.9291 | Test Acc: 0.7070 | Test F1: 0.6653                                                                                                              
Epoch 04 | Train Acc: 0.9629 | Test Acc: 0.6807 | Test F1: 0.6450                                                                                                              
Epoch 05 | Train Acc: 0.9797 | Test Acc: 0.7596 | Test F1: 0.7099                                                                                                              
Epoch 06 | Train Acc: 0.9860 | Test Acc: 0.7175 | Test F1: 0.6798                                                                                                              
Epoch 07 | Train Acc: 0.9887 | Test Acc: 0.6965 | Test F1: 0.6649                                                                                                              
Epoch 08 | Train Acc: 0.9893 | Test Acc: 0.7342 | Test F1: 0.6950                                                                                                              
Epoch 09 | Train Acc: 0.9851 | Test Acc: 0.7509 | Test F1: 0.6953                                                                                                              
Epoch 10 | Train Acc: 0.9919 | Test Acc: 0.7851 | Test F1: 0.7323                                                                                                              
Epoch 11 | Train Acc: 0.9920 | Test Acc: 0.7886 | Test F1: 0.7382                                                                                                              
Epoch 12 | Train Acc: 0.9927 | Test Acc: 0.7561 | Test F1: 0.6949                                                                                                              
Epoch 13 | Train Acc: 0.9934 | Test Acc: 0.7386 | Test F1: 0.6995                                                                                                              
Epoch 14 | Train Acc: 0.9946 | Test Acc: 0.7193 | Test F1: 0.6693                                                                                                              
Epoch 15 | Train Acc: 0.9921 | Test Acc: 0.7614 | Test F1: 0.7082                                                                                                              
Epoch 16 | Train Acc: 0.9955 | Test Acc: 0.7079 | Test F1: 0.6526                                                                                                              
Epoch 17 | Train Acc: 0.9955 | Test Acc: 0.7360 | Test F1: 0.7071                                                                                                              
Epoch 18 | Train Acc: 0.9906 | Test Acc: 0.7596 | Test F1: 0.7335                                                                                                              
Epoch 19 | Train Acc: 0.9959 | Test Acc: 0.7711 | Test F1: 0.7340                                                                                                              
Epoch 20 | Train Acc: 0.9949 | Test Acc: 0.7096 | Test F1: 0.6699                                                                                                              
Epoch 21 | Train Acc: 0.9947 | Test Acc: 0.7018 | Test F1: 0.6530                                                                                                              
Epoch 22 | Train Acc: 0.9950 | Test Acc: 0.7018 | Test F1: 0.6404                                                                                                              
Epoch 23 | Train Acc: 0.9937 | Test Acc: 0.7614 | Test F1: 0.7247                                                                                                              
Epoch 24 | Train Acc: 0.9956 | Test Acc: 0.7158 | Test F1: 0.6784                                                                                                              
Epoch 25 | Train Acc: 0.9956 | Test Acc: 0.7254 | Test F1: 0.6949                                                                                                              
Epoch 26 | Train Acc: 0.9955 | Test Acc: 0.7553 | Test F1: 0.7127                                                                                                              
Epoch 27 | Train Acc: 0.9950 | Test Acc: 0.7570 | Test F1: 0.7017                                                                                                              
Epoch 28 | Train Acc: 0.9961 | Test Acc: 0.7675 | Test F1: 0.7253                                                                                                              
Epoch 29 | Train Acc: 0.9969 | Test Acc: 0.7851 | Test F1: 0.7481                                                                                                              
Epoch 30 | Train Acc: 0.9981 | Test Acc: 0.7570 | Test F1: 0.7160                                                                                                              
Epoch 31 | Train Acc: 0.9959 | Test Acc: 0.7579 | Test F1: 0.7149                                                                                                              
Epoch 32 | Train Acc: 0.9970 | Test Acc: 0.7561 | Test F1: 0.6991                                                                                                              
Epoch 33 | Train Acc: 0.9971 | Test Acc: 0.7588 | Test F1: 0.7080                                                                                                              
Epoch 34 | Train Acc: 0.9956 | Test Acc: 0.7105 | Test F1: 0.6503                                                                                                              
Epoch 35 | Train Acc: 0.9957 | Test Acc: 0.7535 | Test F1: 0.7043                                                                                                              
Epoch 36 | Train Acc: 0.9975 | Test Acc: 0.7588 | Test F1: 0.7154                                                                                                              
Epoch 37 | Train Acc: 0.9987 | Test Acc: 0.7553 | Test F1: 0.7158                                                                                                              
Epoch 38 | Train Acc: 0.9966 | Test Acc: 0.7579 | Test F1: 0.7187                                                                                                              
Epoch 39 | Train Acc: 0.9985 | Test Acc: 0.7632 | Test F1: 0.7242                                                                                                              
Epoch 40 | Train Acc: 0.9956 | Test Acc: 0.7465 | Test F1: 0.6980                                                                                                              
-> Best for Subject 4: Acc = 0.7886, F1 = 0.7382

======================================
 FOLD 5/8: Testing on Subject 5
======================================
Epoch 01 | Train Acc: 0.5496 | Test Acc: 0.6430 | Test F1: 0.6309                                                                                                              
Epoch 02 | Train Acc: 0.8668 | Test Acc: 0.7842 | Test F1: 0.7652                                                                                                              
Epoch 03 | Train Acc: 0.9410 | Test Acc: 0.8079 | Test F1: 0.7852                                                                                                              
Epoch 04 | Train Acc: 0.9726 | Test Acc: 0.8482 | Test F1: 0.8233                                                                                                              
Epoch 05 | Train Acc: 0.9830 | Test Acc: 0.8693 | Test F1: 0.8392                                                                                                              
